iter	F1	Logloss
0	0.6849206394	0.6812264234
1	0.6951962298	0.6717424249
2	0.6843399182	0.6636763177
3	0.68879446	0.6557968644
4	0.6849029009	0.6503320405
5	0.6860119284	0.6451131963
6	0.6857481687	0.6405853684
7	0.6924648344	0.6369027519
8	0.6917314042	0.6336903056
9	0.6922023972	0.6310854089
10	0.6918468065	0.6286894206
11	0.6914915246	0.6264270587
12	0.6916315635	0.6244329118
13	0.6921839237	0.6230518165
14	0.6929192369	0.6217296756
15	0.6927624674	0.6208110176
16	0.6929444201	0.6195296314
17	0.6933345479	0.6185630404
18	0.6925805269	0.617669978
19	0.6924352755	0.6167739338
20	0.6929001392	0.6162363794
21	0.6934412021	0.6156014857
22	0.6934530403	0.6149831477
23	0.6931296353	0.6146077772
24	0.6932654119	0.6139639909
25	0.6934908228	0.6134791626
26	0.6930284547	0.6131762137
27	0.6929678397	0.6128624098
28	0.6935988336	0.6123966481
29	0.6934285326	0.6121850932
30	0.6938001676	0.6118586698
31	0.6935134037	0.6116285854
32	0.693523269	0.6114298372
33	0.6935208291	0.6112542897
34	0.6939503275	0.6109281791
35	0.6942502635	0.6107187392
36	0.6944006348	0.6104433299
37	0.6946371382	0.6102175566
38	0.694790324	0.6099259888
39	0.6948275568	0.609714928
40	0.6946527767	0.6094690457
41	0.6933829066	0.6092853939
42	0.69346389	0.6091298716
43	0.6932221237	0.6089507421
44	0.6933028241	0.608918352
45	0.6935708917	0.60878217
46	0.6935818376	0.6086312414
47	0.6930959283	0.6084766778
48	0.6925486245	0.6082464053
49	0.6921363904	0.6081559055
50	0.6921363904	0.6081527863
51	0.6921517719	0.607898411
52	0.692392487	0.607757656
53	0.6925481643	0.607684435
54	0.6928021474	0.6075180647
55	0.6925083965	0.607386934
56	0.6928021474	0.6072309592
57	0.692931323	0.6071594671
58	0.6930198619	0.6069472143
59	0.6930088086	0.6068789564
60	0.6930485643	0.6068581333
61	0.6929977557	0.6067321535
62	0.6930662101	0.606637451
63	0.6927082915	0.6064660615
64	0.692668501	0.6064247008
65	0.692701659	0.6064109922
66	0.6926176541	0.6062868783
67	0.6925269997	0.6062070227
68	0.6929060953	0.6061085463
69	0.6927381423	0.6060426954
70	0.6929705591	0.6058027344
71	0.6928742955	0.6057231999
72	0.6927392748	0.6056257911
73	0.693331228	0.6055134427
74	0.6932339613	0.60541072
75	0.693096829	0.6053284475
76	0.6931532705	0.6051398344
77	0.6937406509	0.6050621008
78	0.6938201973	0.6049813742
79	0.6936192861	0.6048801814
80	0.6943016828	0.6047029512
81	0.6941195261	0.6046403314
82	0.6940067069	0.6045088453
83	0.6937800379	0.6044543678
84	0.6937069707	0.6044092438
85	0.6939502921	0.6043371976
86	0.6942342076	0.6042231486
87	0.6941491501	0.6041324114
88	0.6943238648	0.6041118349
89	0.6944209062	0.6040085862
90	0.6944486341	0.6039570761
91	0.6946749832	0.6038297859
92	0.6954532689	0.6036187131
93	0.6953168403	0.6035903826
94	0.6953271237	0.603543524
95	0.6952794361	0.6034334014
96	0.6953643548	0.6033738825
97	0.6952167093	0.6032894857
98	0.6953063794	0.6031876275
99	0.6953000064	0.6030354988
100	0.6952880777	0.602992278
101	0.6953222223	0.6029408138
